length, array_first, time_array, time_list
36360, 1, 769, 661
13950, 0, 295, 248
46430, 0, 982, 1455
36400, 1, 771, 1223
49050, 0, 1056, 1590
30280, 1, 646, 1030
38990, 0, 824, 1069
43670, 1, 925, 1226
13880, 1, 288, 223
16500, 1, 348, 332
33480, 0, 710, 783
35370, 1, 748, 1220
16830, 0, 354, 200
35630, 1, 755, 713
6160, 0, 128, 21
33510, 0, 709, 827
19660, 1, 449, 415
37300, 1, 789, 793
31990, 0, 678, 966
12180, 1, 255, 206
14730, 1, 306, 272
7890, 0, 164, 40
43680, 0, 927, 1061
36990, 0, 784, 821
30430, 1, 649, 894
44800, 0, 951, 1230
27590, 1, 609, 680
32220, 1, 715, 1052
27320, 0, 583, 935
27490, 0, 588, 730
16950, 0, 429, 346
10560, 0, 219, 162
30980, 1, 656, 871
38320, 1, 810, 1030
8030, 0, 166, 72
14600, 1, 306, 271
4410, 1, 93, 29
24410, 1, 520, 545
16110, 1, 349, 328
43700, 1, 927, 1592
29640, 1, 654, 826
39660, 1, 840, 1390
47440, 1, 1006, 2020
21010, 0, 465, 444
27890, 0, 595, 734
41440, 0, 880, 1226
38600, 0, 820, 936
43810, 0, 928, 1466
26730, 0, 572, 356
29830, 1, 633, 639
27540, 1, 586, 576
13130, 0, 276, 275
34130, 1, 724, 864
36200, 0, 767, 974
5920, 0, 123, 35
2880, 0, 62, 17
2360, 0, 50, 15
35700, 0, 754, 1090
37090, 1, 785, 1129
21740, 1, 465, 502
28010, 0, 594, 617
16620, 1, 347, 311
23030, 0, 490, 533
11610, 1, 241, 139
11920, 0, 256, 206
6990, 0, 146, 51
17090, 1, 422, 435
33980, 0, 720, 938
31870, 1, 684, 875
38150, 1, 844, 1342
22350, 0, 479, 590
1270, 0, 27, 9
15660, 0, 339, 492
2850, 1, 60, 14
11870, 1, 255, 119
25210, 1, 536, 393
30370, 1, 652, 694
11390, 0, 237, 118
33570, 1, 712, 1150
8770, 0, 182, 52
16280, 0, 345, 340
21880, 0, 465, 732
26440, 0, 563, 436
5830, 0, 121, 42
30350, 1, 646, 1011
24920, 0, 532, 708
35580, 1, 752, 788
26430, 0, 562, 766
4500, 0, 94, 23
37420, 1, 793, 745
16940, 1, 355, 345
41610, 0, 880, 1419
18930, 0, 401, 362
4280, 1, 89, 21
46890, 1, 995, 1430
30580, 0, 648, 903
35110, 1, 743, 907
24690, 0, 526, 720
47200, 0, 1000, 1544
21990, 1, 467, 526
